Quantity,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1

"1","CAP CER 0.047UF 50V X7R 0603","C1","Yageo","CC0603KRX7R9BB473","Digi-Key","311-1427-6-ND"
"2","CAP CER 0.1UF 50V Y5V 0805","C2, C8","KEMET","C0805C104Z5VACTU","Digi-Key","399-1177-6-ND"
"1","CAP CER 0.1UF 16V X7R 0603","C3","KEMET","C0603C104M4RACTU","Digi-Key","399-1099-6-ND"
"1","CAP CER 0.1UF 16V Y5V 0805","C4","KEMET","C0805C104Z4VACTU","Digi-Key","399-9159-6-ND"
"1","0603 100 pF 50 V ±5% Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor","C5","Kyocera AVX","06035A101JAT2A/4K","Digi-Key","478-1175-6-ND"
"1","KEMET   T591D107M010ATE080   Surface Mount Tantalum Capacitor, AEC-Q200 T591 Series, 100uF, 2917 [7343-31 Metric], 0.08 ohm","C6","KEMET","T591D107M010ATE080","Digi-Key","399-12364-1-ND"
"1","Aluminum Electrolytic Capacitors - SMD 22uF 50 Volts 20% LYTICS/IC","C7","CDE Illinois Capacitor","226SML050M","Digi-Key","1572-1392-6-ND"
"1","TVS DIODE 58VWM 93.6VC SMA","D1","Diodes","SMAJ58A-13-F","Digi-Key","SMAJ58A-13-FDIDKR-ND"
"1","LED RED CLEAR 0603 SMD","D2","Wurth Electronics","150060RS75000","Digi-Key","732-4978-6-ND"
"1","DIODE SCHOTTKY 40V 8A DO214AB","D3","MCC","SK84L-TP","Digi-Key","SK84L-TPMSDKR-ND"
"2","LED GREEN CLEAR 0603 SMD","D4, D5","Wurth Electronics","150060VS75000","Digi-Key","732-4980-1-ND"
"2","CONN HEADER R/A 2POS","J1, J2","Molex","76825-0002","Digi-Key","WM11969-ND"
"1","CONN HEADER R/A 4POS 3.5MM","J3","Molex","172316-1104","Digi-Key","WM11594-ND"
"2","Single layer pad TP","JP1, JP2","","","",""
"1","Inductor Power Shielded Wirewound 10uH 10% 100KHz Ferrite 30A 0.0016Ohm DCR Automotive Tray","L1","Bourns","PQ2614BLA-100K","Digi-Key","PQ2614BLA-100K-ND"
"1","Trans MOSFET N-CH 250V 33A 3-Pin(2+Tab) D2PAK T/R","Q1","Rochester Electronics","FDB33N25TM","Digi-Key","FDB33N25TMDKR-ND"
"1","MOSFET P-CH 30V 27A TO252","Q2","Diodes","DMP3028LK3-13","Digi-Key","DMP3028LK3-13DICT-ND"
"1","BOURNS - CSS2H-2512K-2L00F - SMD Current Sense Resistor, 0.002 ohm, CSS2H-2512 Series, 2512 [6432 Metric], 5 W, ± 1%","R1","Bourns","CSS2H-2512K-2L00F","Digi-Key","CSS2H-2512K-2L00FDKR-ND"
"1","RES SMD 10 OHM 1% 1/10W 0603","R2","Yageo","AC0603FR-0710RL","Digi-Key","311-10LDDKR-ND"
"1","RES SMD 665 OHM 1% 1/10W 0603","R3","Yageo","RC0603FR-07665RL","Digi-Key","311-665HRDKR-ND"
"1","RES SMD 47.5K OHM 1% 1/10W 0603","R4","Yageo","RC0603FR-0747K5L","Digi-Key","311-47.5KHRCT-ND"
"1","RES SMD 8.06K OHM 1% 1/10W 0603","R5","Panasonic","ERJ-3EKF8061V","Digi-Key","P8.06KHDKR-ND"
"1","RES SMD 5.1K OHM 1% 1/8W 0805","R6","TE Connectivity Holsworthy","CRG0805F5K1","Digi-Key","A126379DKR-ND"
"1","RES 117K OHM 0.5% 1/10W 0603","R7","Yageo","RT0603DRE07117KL","Digi-Key","13-RT0603DRE07117KLDKR-ND"
"1","RES 10K OHM 1% 1/10W 0603","R8","Yageo","RC0603FR-1010KL","Digi-Key","13-RC0603FR-1010KLCT-ND"
"1","Res Thin Film 0603 3.4K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD Paper T/R","R10","TE Connectivity","RP73PF1J3K4BTDF","Digi-Key","A110159DKR-ND"
"2","RES SMD 2.2K OHM 1% 1/10W 0603","R11, R12","Yageo Phycomp","RC0603FR-072K2L","Digi-Key","311-2.20KHRDKR-ND"
"1","RES SMD 10K OHM 5% 1/10W 0603","R13","Yageo","RC0603JR-0710KL","Digi-Key","311-10KGRDKR-ND"
"1","RES SMD 6.65K OHM 0.1% 1/6W 0603","R14","TE Connectivity","RP73PF1J6K65BTDF","Digi-Key","A110187DKR-ND"
"1","Res Thick Film 0603 24K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Automotive Paper T/R","R15","Vishay","CRCW060324K0FKEA","Digi-Key","541-24.0KHCT-ND"
"1","RES SMD 665 OHM 1% 1/10W 0603","R16","Yageo","RC0603FR-07665RL","Digi-Key","311-665HRDKR-ND"
"1","RES SMD 180 OHM 1% 1/10W 0603","R17","TE Connectivity","CRGCQ0603F180R","Digi-Key","A129679DKR-ND"
"1","RES SMD 7.87K OHM 1% 1/10W 0603","R18","Vishay","CRCW06037K87FKEA","Digi-Key","541-7.87KHCT-ND"
"1","IC SURGE STOPPER HV 12-MSOP","U1","Analog Devices / Linear Technology","LT4363IMS-2#TRPBF","Digi-Key","LT4363IMS-2#TRPBFDKR-ND"
"1","Bi Directional Current and Power Monitor 10-Pin VSSOP T/R","U2","Texas Instruments","INA226AIDGSR","Digi-Key","296-29034-1-ND"
"1","DC DC Cntrlr Single-OUT Buck 4.5V to 35V Input 8-Pin VSSOP T/R","U3","TI National Semiconductor","LM3489MMX/NOPB","Digi-Key","296-35277-6-ND"
"2","Connector Header Through Hole 20 position 0.100" (2.54mm)","X1, X2","Molex","0702462001","Digi-Key","WM6548-ND"
